gender,age,Mean,Mad,deviation,Median,Min,Max,interquartileR,Skewness,Q25,Q75,Kurtosis,mfcc_mean,mfcc_max,mfcc_min,fbank_mean,fbank_max,fbank_min,energy_mean,energy_max,energy_min,lfbank_mean,lfbank_max,lfbank_min,ssc_mean,ssc_max,ssc_min,meaN,deviatioN,mediaN,modE,IQR,skewnesS,q25,q75,kurtosiS,person
0,20,2.171025028935185,1548.7081348945082,2545.3625236796825,0.0,-12528.0,9681.0,1311.0,-0.9759338585329711,-301.0,1010.0,3.260844976540174,2.4809792024702673,61.224566702277315,-54.73506535156307,404749.5404790861,49461521.66093633,2.220446049250313e-16,10565141.913657881,120866221.50190507,2.220446049250313e-16,8.61949049685612,17.716705585070272,-36.04365338911715,5769.385504439529,21293.06456101116,94.74609374999999,37.11461281460177,60.513546454663086,10.850694444444445,2.1882233796296298,33.004195601851855,16.43964463408264,4.503038194444445,37.5072337962963,391.56548731463215,Uonlos
0,20,-8.930302372685185,2086.56113459871,2883.984965568259,224.5,-12482.0,9681.0,2857.0,-0.8322815625303793,-1070.0,1787.0,1.389079821727321,3.3149779799081256,67.36357821310845,-62.32556419577802,609932.356325227,43857021.51991267,11.858691219494848,15919464.90348309,112630152.00754866,217989.47775722665,10.64190403396369,17.59644538984539,2.473061034992509,5765.74808832212,21458.380046597853,94.74609374999999,41.10173600406736,61.424346932312055,12.876157407407408,2.1882233796296298,44.81336805555556,21.901035148323743,5.714699074074074,50.52806712962963,716.4381890593726,Uonlos
0,20,-2.542697482638889,1734.978589242378,2416.0703073410787,191.0,-11067.0,8932.0,2335.25,-0.8741359894019838,-851.25,1484.0,1.5688624629541663,4.273315374525259,57.598890758066354,-59.698321778420365,319143.0557003115,29948614.050437104,7.5894336390104185,8339903.328862618,78507028.55114414,201670.95283222655,10.0944915333277,17.214993606010488,2.0267569692571588,5767.043956697408,21279.98909955345,94.74609374999999,34.60861877253008,60.44060940443972,11.067708333333334,2.0073784722222223,40.96137152777778,18.305063227205046,4.3764467592592595,45.33781828703704,485.4785638473572,Uonlos
0,20,-1.4087999131944444,1413.0937911394694,2077.965403647367,79.0,-9742.0,8932.0,1676.0,-0.7513661992523479,-598.0,1078.0,2.225067462268251,3.089197537346046,51.31176478186799,-55.184450294683636,347663.5327219062,36953204.85008486,7.417339987770502,9059318.096396415,74935570.95391035,180470.72514082032,9.986936719677198,17.425162936376264,2.0038205006913756,5767.104874544687,21216.58886474949,94.74609374999999,38.76062265621795,57.60932756473285,12.351707175925926,2.0073784722222223,45.3197337962963,18.449583306352146,5.316840277777778,50.636574074074076,566.3584637597313,Uonlos
0,20,6.344672309027778,1155.0297565165863,1760.085018928465,89.0,-8325.0,7271.0,1270.0,-0.8194699324018069,-480.0,790.0,3.0197610950227642,1.9965589729995636,58.755160267309506,-66.11076800532146,318957.22445414437,40591922.42595296,5.319462911442027,8320859.595998231,68993865.15385957,208508.14600722655,9.88394537857507,17.519079649751994,1.6713723417612434,5765.387532669752,21356.507346026487,94.74609374999999,41.87073785248456,62.702023040570495,12.659143518518519,2.170138888888889,48.611111111111114,13.106283197235918,5.280671296296297,53.89178240740741,255.44986452787955,Uonlos
0,20,8.155436197916666,1244.2109254789943,1817.803270273058,106.0,-8223.0,7053.0,1491.0,-0.7959853116137466,-539.0,952.0,1.9466375103657856,3.1475010166972726,65.40553108774145,-50.854878473671704,242431.65333869285,36061997.37822563,7.1068558028463285,6323138.445900525,106987371.9859828,161262.10064160154,9.71193382381981,17.400750164616593,1.9610599241843483,5765.28473994662,21258.241449614176,94.74609374999999,43.63584440801439,70.97129108586789,10.72410300925926,2.0073784722222223,49.28023726851852,15.244626881558577,4.123263888888889,53.40350115740741,324.6207421001095,Uonlos
0,20,-19.43185763888889,1349.4369968210228,1974.5700730405367,52.0,-9358.0,8221.0,1642.0,-0.5039147630234787,-684.0,958.0,1.840541364051536,2.051900658438145,64.18228320172894,-64.95686106775123,310719.9585602483,42546960.268301316,1.0254850515974383,8099124.9070233125,115157121.27241659,131537.26163789062,9.74444470109873,17.56611897137892,0.025165721727263706,5763.636878173777,21282.39180990433,94.74609374999999,43.84702530358969,66.61469855970054,10.814525462962964,1.9169560185185186,50.34722222222223,15.747562608163786,4.503038194444445,54.85026041666667,333.74073425417663,Uonlos
0,20,-10.042317708333334,1011.7599043198572,1682.5510877394956,5.0,-9358.0,8221.0,808.0,-0.49212702278279824,-308.0,500.0,4.01900137948909,2.2755886105223544,64.3259186136999,-61.2148088409401,205922.8206548281,27088940.05566703,1.5294720113391134,5366213.084744324,67741373.42968789,91013.49867128907,8.910954807428224,17.11463608652087,0.42492258521884063,5764.4166814804885,21266.111563025028,94.74609374999999,41.657685673799236,61.885972011526825,10.778356481481481,3.7615740740740744,45.9888599537037,16.59498357066586,5.37109375,51.3599537037037,369.5510738628436,Uonlos
0,20,11.033257378472221,291.8481713734536,675.2842779064952,10.0,-4451.0,3978.0,138.0,-0.6998142048947438,-63.0,75.0,12.527930066569684,1.484925779162378,49.94885994043157,-51.49727229914357,80686.97835395877,30495865.222220995,0.006338518481247125,2104655.4714828776,69487273.00147599,48568.83032695313,6.973822429479267,17.233101665903117,-5.0611102158767,5760.239602529628,21326.24622280006,94.74609374999999,71.02244199308215,90.6007241203504,18.59085648148148,3.7615740740740744,92.01388888888889,20.102330612785735,3.689236111111111,95.703125,493.4858833610204,Uonlos
0,20,20.007667824074073,49.38482576011794,60.17357080878943,21.0,-158.0,275.0,89.0,0.09807337953166843,-26.0,63.0,-0.419454732459263,-0.3269713628917765,36.65614236553097,-43.78889384670601,3148.4259320215074,35960.04045880679,0.2205436891657656,83267.53223612598,130113.89146445313,38975.848687890626,6.083651951674137,10.490163613690786,-1.5116594669155476,5760.636533952164,21320.037599127256,94.74609374999999,120.75205830245726,109.2651730949637,95.1244212962963,0.03616898148148148,198.13368055555557,38.60046699281844,15.299479166666668,213.43315972222223,2023.0276507023798,Uonlos
